"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Cl","Ac","H2O_H","Br","X2H"
"FT127",220.786422411309,487.137268066406,23644748.2995121,0,0,0,0,0,0,0,0,0,0,0
"FT128",222.783976887171,487.640411376953,6274987.98127336,0,0,0,0,0,0,0,0,0,0,0
"FT129",222.814697339529,511.828643798828,3317522.88837019,0,0,0,0,0,0,0,0,0,0,0
"FT130",224.811793612074,509.921661376953,9985701.88543903,0,0,0,0,0,0,0,0,0,0,0
"FT131",224.8118488001,502.993659448242,7282000.06307592,0,0,0,0,0,0,0,0,0,0,0
"FT132",226.808901069698,509.184173583984,6563018.82569717,0,0,0,0,0,0,0,0,0,0,0
"FT133",238.891860559121,1041.39459228516,1177156.99512259,0,0,0,0,0,0,0,0,0,0,0
"FT134",244.082670354515,519.3115234375,8980544.56016553,0,0,0,0,0,0,0,0,0,0,0
"FT135",246.057411023202,545.405883789062,2307039.93236935,0,0,0,0,0,0,0,0,0,0,0
"FT136",261.096554168176,194.842620849609,5593763.04956866,0,0,0,0,0,0,0,0,0,0,0
"FT137",262.738738897207,451.019714355469,59573352.6125581,0,0,0,0,0,0,0,0,0,0,0
"FT138",264.73670325659,451.019714355469,63460970.2484414,0,0,0,0,0,0,0,0,0,0,0
"FT139",266.734549144925,451.862091064453,24996377.9991888,0,0,0,0,0,0,0,0,0,0,0
"FT140",267.072445143132,599.439447177735,27696451.9751322,0,0,0,0,0,0,0,0,0,0,0
"FT141",267.072386140178,622.033874511719,8943088.3064183,0,0,0,0,0,0,0,0,0,0,0
"FT142",267.073766394443,379.88623046875,17842200.7488614,0,0,0,0,0,0,0,0,0,0,0
"FT143",292.895169171914,789.126647949219,51056160.8668316,0,0,0,0,0,0,0,0,0,0,0
"FT144",309.271109176792,73.9983139038086,4645584.05579684,0,0,0,0,0,0,0,0,0,0,0
"FT145",314.864670871858,788.244201660156,832535854.99428,0,0,197693322,118066135,0,0,0,0,0,0,0
"FT148",317.054997967077,665.754699707031,4048009.4503006,0,0,0,0,0,0,0,0,0,0,0
"FT150",330.842132653016,788.097839355469,124264783.579942,0,0,16370061,0,0,0,0,0,0,0,0
"FT151",332.264924823194,73.9983139038086,6163572.82586648,0,0,0,0,0,0,0,0,0,0,0
"FT152",338.239077031148,76.8968963623047,1065249.69369252,212008,0,0,0,0,0,0,0,0,0,0
"FT153",341.109217119854,604.8114,10546006.9996819,0,0,0,0,0,0,0,0,0,0,0
"FT154",341.10914368852,628.546051025391,7669283.43673618,0,0,0,0,0,0,0,0,0,0,0
"FT155",343.273467719978,75.4397087097168,1129770.36772469,478587,0,0,0,0,0,0,0,0,0,0
"FT156",351.04129673137,639.210144042969,14570687.4577059,0,0,0,0,0,0,0,0,0,0,0
"FT157",351.041288640528,651.204406738281,5727121.21965712,0,0,0,0,0,0,0,0,0,0,0
"FT158",352.146431660212,658.03759765625,2365065.95607077,19160151,0,0,0,0,0,0,0,0,0,0
"FT159",353.149567523553,634.024536132812,3704168.10595223,0,0,0,0,0,0,0,0,0,0,0
"FT161",353.149596301105,658.455139160156,22001809.848235,0,0,0,0,0,0,0,0,0,0,0
"FT162",412.831926597392,788.510803222656,45666560.2810414,0,0,0,0,0,0,0,0,0,0,0
"FT163",620.851135253906,788.783447265625,5881140.95144215,0,0,0,0,0,0,0,0,0,0,0
