"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","adduct_type","M_area"
"FT060",4116,134.882543015523,134.882499694824,134.882606506348,563.540283203125,525.178680419922,580.768249511719,128413797.113066,NA,4326862,NA,3,"190715_Blk_KM1906U14-Blk_C.mzML","N15",145134212.872627
"FT060",4194,134.882524541221,134.882499694824,134.882606506348,571.836120605469,525.178680419922,580.768249511719,71799071.7391072,NA,4055552.5,NA,4,"190715_Poo_TruePooFK180310_Full1.mzML","N15",136000085.16375
"FT060",4282,134.882537897565,134.882499694824,134.882606506348,570.09975,525.178680419922,580.768249511719,129116201.226143,NA,4297268.5,NA,5,"190715_Poo_TruePooFK180310_Full2.mzML","N15",140702542.774239
"FT060",4363,134.882592748095,134.882499694824,134.882606506348,571.297119140625,525.178680419922,580.768249511719,37096584.0663764,NA,3984619,NA,6,"190715_Poo_TruePooFK180310_Full3.mzML","N15",130728619.505463
"FT060",4457,134.882535247106,134.882499694824,134.882606506348,560.699157714844,525.178680419922,580.768249511719,80592780.6357408,NA,2761500.5,NA,7,"190715_Poo_TruePooFK180310_Half1.mzML","N15",113772549.675972
"FT060",4558,134.882550962785,134.882499694824,134.882606506348,556.824462890625,525.178680419922,580.768249511719,90431471.3549787,NA,2781995.75,NA,8,"190715_Poo_TruePooFK180310_Half2.mzML","N15",101228619.61665
"FT060",4728,134.882566645401,134.882499694824,134.882606506348,562.914978027344,525.178680419922,580.768249511719,131966409.442901,NA,3996873.75,NA,10,"190715_Smp_FK180310S62C1-25m_A.mzML","N15",143612422.262001
"FT060",4816,134.882554193212,134.882499694824,134.882606506348,571.8505859375,525.178680419922,580.768249511719,93025703.5980801,NA,3361252.5,NA,11,"190715_Smp_FK180310S62C1-25m_B.mzML","N15",112107385.068596
"FT060",4902,134.882544309808,134.882499694824,134.882606506348,569.058715820312,525.178680419922,580.768249511719,74582259.5156208,NA,3120534.25,NA,12,"190715_Smp_FK180310S62C1-25m_C.mzML","N15",91689933.4686813
"FT060",4994,134.882574638937,134.882499694824,134.882606506348,570.100280761719,525.178680419922,580.768249511719,48838778.7025948,NA,2699741.25,NA,13,"190715_Smp_FK180310S62C1-DCM_A.mzML","N15",68952536.6254578
"FT060",5084,134.88253619252,134.882499694824,134.882606506348,579.502685546875,525.178680419922,580.768249511719,53194456.6451383,NA,2107463.25,NA,14,"190715_Smp_FK180310S62C1-DCM_B.mzML","N15",56918612.6054688
"FT060",5172,134.882555751052,134.882499694824,134.882606506348,568.95263671875,525.178680419922,580.768249511719,97609974.0581006,NA,3256827.5,NA,15,"190715_Smp_FK180310S62C1-DCM_C.mzML","N15",102778073.416439
"FT060",5257,134.882540430619,134.882499694824,134.882606506348,570.467346191406,525.178680419922,580.768249511719,105068450.50096,NA,3424968.75,NA,16,"190715_Smp_FK180310S64C1-25m_A.mzML","N15",107165363.27314
"FT060",5343,134.882542258523,134.882499694824,134.882606506348,579.65380859375,525.178680419922,580.768249511719,41635145.7985801,NA,1874100.25,NA,17,"190715_Smp_FK180310S64C1-25m_B.mzML","N15",45414596.872612
"FT060",5436,134.882539605383,134.882499694824,134.882606506348,569.318725585938,525.178680419922,580.768249511719,113760905.96607,NA,4123194,NA,18,"190715_Smp_FK180310S64C1-25m_C.mzML","N15",149182020.06707
"FT060",5525,134.88258087031,134.882499694824,134.882606506348,573.440185546875,525.178680419922,580.768249511719,59367847.004769,NA,3275453,NA,19,"190715_Smp_FK180310S64C1-DCM_A.mzML","N15",94126028.3652878
"FT060",5612,134.882564425501,134.882499694824,134.882606506348,574.361877441406,525.178680419922,580.768249511719,108510210.010187,NA,3760220,NA,20,"190715_Smp_FK180310S64C1-DCM_B.mzML","N15",130336961.478462
"FT060",5699,134.8825835435,134.882499694824,134.882606506348,569.6650390625,525.178680419922,580.768249511719,54824298.8790543,NA,2692043.25,NA,21,"190715_Smp_FK180310S64C1-DCM_C.mzML","N15",80177947.7038078
"FT060",5785,134.882528784732,134.882499694824,134.882606506348,573.467529296875,525.178680419922,580.768249511719,41753040.7845343,NA,3704610.75,NA,22,"190715_Smp_FK180310S77C1-25m_A.mzML","N15",128101093.267548
"FT060",5872,134.882542255748,134.882499694824,134.882606506348,573.535400390625,525.178680419922,580.768249511719,113832642.901504,NA,4212852,NA,23,"190715_Smp_FK180310S77C1-25m_B.mzML","N15",149135556.738235
"FT060",5956,134.882545457707,134.882499694824,134.882606506348,568.765563964844,525.178680419922,580.768249511719,134722240.643432,NA,4442084,NA,24,"190715_Smp_FK180310S77C1-25m_C.mzML","N15",149065785.61219
"FT060",6048,134.882563459907,134.882499694824,134.882606506348,570.349304199219,525.178680419922,580.768249511719,67830558.5402243,NA,2557448,NA,25,"190715_Smp_FK180310S77C1-DCM_A.mzML","N15",69966310.985405
"FT060",6140,134.882543441824,134.882499694824,134.882606506348,572.414428710938,525.178680419922,580.768249511719,63387078.3035101,NA,2451740.25,NA,26,"190715_Smp_FK180310S77C1-DCM_B.mzML","N15",71571984.7035332
"FT060",6231,134.882533448663,134.882499694824,134.882606506348,571.464477539062,525.178680419922,580.768249511719,72577319.3156771,NA,3440083,NA,27,"190715_Smp_FK180310S77C1-DCM_C.mzML","N15",114232692.266212
"FT060",6315,134.882528508334,134.882499694824,134.882606506348,569.828674316406,525.178680419922,580.768249511719,43192038.6929844,NA,3450141.25,NA,28,"190715_Smp_FK180310S80C1-25m_A.mzML","N15",121829843.408905
"FT060",6406,134.882527002933,134.882499694824,134.882606506348,569.821166992188,525.178680419922,580.768249511719,72551748.7301056,NA,3417458.25,NA,29,"190715_Smp_FK180310S80C1-25m_B.mzML","N15",98063205.5210419
"FT060",6493,134.882539121922,134.882499694824,134.882606506348,568.968994140625,525.178680419922,580.768249511719,121078458.784112,NA,4278040,NA,30,"190715_Smp_FK180310S80C1-25m_C.mzML","N15",133021664.448402
"FT060",6575,134.882531146565,134.882499694824,134.882606506348,572.846496582031,525.178680419922,580.768249511719,70613954.0327321,NA,3728302,NA,31,"190715_Smp_FK180310S80C1-DCM_A.mzML","N15",130404369.552078
"FT060",6668,134.882537698392,134.882499694824,134.882606506348,573.634094238281,525.178680419922,580.768249511719,93809589.2874513,NA,3164998.5,NA,32,"190715_Smp_FK180310S80C1-DCM_B.mzML","N15",102108784.04921
"FT060",6751,134.882542217662,134.882499694824,134.882606506348,566.769775390625,525.178680419922,580.768249511719,115773296.291482,NA,3746672.75,NA,33,"190715_Smp_FK180310S80C1-DCM_C.mzML","N15",118753105.817345
"FT060",2943,134.882543402543,134.88249206543,134.882583618164,565.365234375,526.058227539062,581.732543945312,84595468.6473959,84595418.0474882,3426120.25,35,36,"190715_Std_4uMStdsMix1InMatrix_1.mzML","N15",91565009.8047371
"FT060",3095,134.882515894417,134.882476806641,134.882568359375,564.164428710938,528.635681152344,582.088134765625,58023058.2845869,58023008.2948257,2763759.75,33,37,"190715_Std_4uMStdsMix1InMatrix_2.mzML","N15",60776459.6372833
"FT060",3504,134.882573461984,134.882522583008,134.882659912109,554.865173339844,522.125793457031,572.224243164062,85335918.9082333,85335867.8654358,3229594.75,37,40,"190715_Std_4uMStdsMix2InMatrix_1.mzML","N15",82081946.638752
"FT060",3701,134.882486543956,134.882431030273,134.882553100586,559.021850585938,524.299133300781,578.733581542969,61763639.1872185,61763587.7871705,2714299,26,41,"190715_Std_4uMStdsMix2InMatrix_2.mzML","N15",64232649.2510643
