"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","M_area","C13_match","C13_area","X2C13_match","X2C13_area","S34_match","S34_area","S33_match","S33_area","N15_match","N15_area","O18_match","O18_area","Na_match","Na_area","NH4_match","NH4_area","H2O_H_match","H2O_H_area","K_match","K_area","X2H_match","X2H_area","BMIS","BMISed_area"
"FT107",6678,212.074786273887,212.074722290039,212.074829101562,91.0488739013672,88.3213157653809,119.762363433838,668281106.938569,NA,28495266,NA,38,"190715_Std_4uMStdsMix2InH2O_1.mzML",786260171.137695,0.400968209034492,81716054.8751631,0.177252385416759,3259878.33409756,0.719279527453032,32706651.0559933,0,0,-0.30398086936929,3494177.1312151,-0.0602609707823208,2258176.37378342,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",NA
"FT107",6757,212.07478882453,212.074722290039,212.074829101562,90.1519317626953,88.3213157653809,119.762363433838,809996522.515791,NA,32851916,NA,40,"190715_Std_4uMStdsMix2InMatrix_1.mzML",829297802.904625,0.79248196953035,86399008.7763624,0.101729655215501,2644197.96811299,0.586883070971352,34080716.7049897,0,0,0.076004626611011,3595908.26512879,-0.140983308901403,3188980.04967016,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",830557716.547709
"FT107",6825,212.074722290039,212.074722290039,212.074829101562,109.732192993164,88.3213157653809,119.762363433838,19413494.9702225,NA,10238146,NA,41,"190715_Std_4uMStdsMix2InMatrix_2.mzML",306366044.842957,0.606508989504229,31467994.0358768,0,0,0.305878878734366,12981275.6680917,0,0,0.130744796627732,2141677.04267427,0,0,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",407412583.199208
"FT107",6894,212.07481546782,212.074722290039,212.074829101562,108.533630371094,88.3213157653809,119.762363433838,184748774.214404,NA,27029480,NA,42,"190715_Std_H2OinMatrix_1.mzML",742237676.86451,0.754977038679284,75407223.8088493,-0.307625044287246,2953703.96366799,0.416166489383066,31557117.7652953,0,0,0,0,0.244014858089303,2225142.72340089,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",706029426.750418
"FT107",6973,212.07475299721,212.074722290039,212.074829101562,95.0501403808594,88.3213157653809,119.762363433838,250180670.366938,NA,11970228,NA,43,"190715_Std_H2OinMatrix_2.mzML",331882133.026703,0.532356930660982,34018983.9627414,0,0,0.474431084365181,13771465.5138255,0,0,0.340271263391259,2207323.31637417,0.231644468893015,1612360.74081893,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",697676044.278119
"FT108",319,216.790988226954,216.79084777832,216.791213989258,492.245849609375,484.947357177734,500.022674560547,1008260.87233474,1008240.96602617,104167.953125,32,2,"170706_Blk_Blk0p2_2.mzML",722777.020911217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",NA
"FT108",4128,216.790865178878,216.790710449219,216.790969848633,507.289428710938,467.387664794922,510.071212768555,808910.086372601,NA,180358.5,NA,3,"190715_Blk_KM1906U14-Blk_C.mzML",1389348.85348129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",1383923.8208827
"FT108",583,216.790782133297,216.790679931641,216.790893554688,484.588698,467.277426,517.858842,16318197.90454,16318148.2427861,842275.6875,50,4,"190715_Poo_TruePooFK180310_Full1.mzML",16128920.0045414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",15607841.8161702
"FT108",659,216.790866476627,216.790603637695,216.791152954102,486.313354492188,471.791107177734,510.032257080078,7153314.86841082,7123481.42948235,439890.53125,26,5,"190715_Poo_TruePooFK180310_Full2.mzML",7086469.31695008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",9316728.43507222
"FT108",728,216.790973811699,216.790786743164,216.791107177734,487.744232177734,470.917297363281,513.999328613281,15007766.7489745,15007722.1128985,792092.5,53,6,"190715_Poo_TruePooFK180310_Full3.mzML",14370073.5261126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",14579782.2126479
