"chemical_ID","score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","Name","Formula","MonoisotopicMass","Adduct","ISgroup","mean_int_vec","MD"
"HMDB33745",0,"7_1",172.13327,111.4,"Multiple","172.13321","Ethyl 2-methylbutyrate","C7H14O2","130.099379692","M+ACN+H","ISgroup_7_1_14",5600937.6,0.133
"HMDB33745",0,"17_1",218.13864,259.1,"Multiple","218.13829","Ethyl 2-methylbutyrate","C7H14O2","130.099379692","3M+2Na","ISgroup_17_2_14",117913733.7,0.139
"HMDB33745",0,"9_1",175.07146,642.1,"Multiple","175.07054","Ethyl 2-methylbutyrate","C7H14O2","130.099379692","M+2Na-H","ISgroup_9_33_8",890131.3,0.071
"HMDB33747",0,"7_1",143.08163,453.4,"Multiple","143.0815","()-22-Iminobispropanoic acid","C6H11NO4","161.068807845","M+3ACN+2H","ISgroup_7_11_9",15323366,0.082
"HMDB33747",0,"4_1",143.0816,420.6,"Multiple","143.0815","()-22-Iminobispropanoic acid","C6H11NO4","161.068807845","M+3ACN+2H","ISgroup_4_6_9",17642606.4,0.082
"HMDB33747",0,"7_2",143.08153,474.2,"Multiple","143.0815","()-22-Iminobispropanoic acid","C6H11NO4","161.068807845","M+3ACN+2H","ISgroup_7_11_9",146255354.8,0.082
"HMDB33747",0,"2_1",90.05551,539.5,"Multiple","90.05495","()-22-Iminobispropanoic acid","C6H11NO4","161.068807845","M+H+NH4","ISgroup_2_23_6",7155610.6,0.056
"HMDB33747",0,"9_1",102.05541,652.1,"Multiple","102.05495","()-22-Iminobispropanoic acid","C6H11NO4","161.068807845","M+ACN+2H","ISgroup_9_33_6",2583091.3,0.055
"HMDB33747",0,"17_1",90.05551,580.5,"Multiple","90.05495","()-22-Iminobispropanoic acid","C6H11NO4","161.068807845","M+H+NH4","ISgroup_17_22_6",8031004.6,0.056
"HMDB33747",0,"7_14",90.05551,611.4,"Multiple","90.05495","()-22-Iminobispropanoic acid","C6H11NO4","161.068807845","M+H+NH4","ISgroup_7_12_6",10644370.3,0.056
"HMDB33748",0,"7_1",275.07137,591.4,"Multiple","275.07374","Umbelliferose","C18H32O16","504.169034976","M+2Na","ISgroup_7_12_8",3138089,0.071
"HMDB33750",0,"16_1",148.07983,599.6,"Multiple","148.07863","D-Glycero-D-galacto-heptitol","C7H16O7","212.089602866","M+2ACN+2H","ISgroup_16_12_8",3833957.1,0.08
"HMDB33755",0,"7_1",126.02214,585,"Multiple","126.02101","2-Butyl-1H-benzimidazole","C11H14N2","174.115698458","M+2K","ISgroup_7_12_3",9052882,0.022
"HMDB33757",0,"7_1",317.99107,790.1,"Multiple","317.99184","Marcanine A","C14H9NO3","239.058243159","M+2K+H","ISgroup_7_24_100",33446764.3,0.991
