"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT313",195.076457405772,524.193969726562,"Adenine, 15N2",2421280.60885281
"FT314",196.083025787516,243.295501708984,"DL-Valine, 2H8",6402826.23928827
"FT315",196.169750925904,108.383346557617,"Arsenobetaine, 13C2",4260295.5468933
"FT316",198.124074826316,427.957397460938,"DL-Histidine, 15N",3519918.97817115
"FT317",198.185377409209,111.128807067871,"Adenine, 15N2",5518415.0917739
"FT318",201.02510954609,386.103759765625,"None",1992981.148924
"FT319",201.123422450781,558.189727783203,"None",628067.096237043
"FT321",203.997620286478,791.404907226562,"DL-Histidine, 15N",30788720.8883106
"FT322",204.123200002878,338.389587402344,"Adenine, 15N2",190125503.608648
"FT323",206.102495067941,587.79248046875,"DL-Histidine, 15N",6093116.69465772
"FT324",206.138851939674,305.230224609375,"Arsenobetaine, 13C2",9199284.12395394
"FT325",206.138847767917,139.125839233398,"Guanine, 13C, 15N2",96209605.8896548
"FT326",207.068609063716,448.739578654297,"Arsenobetaine, 13C2",2864812.9173
"FT327",209.047940295326,593.370361328125,"DL-Proline, 2H7",33012909.613259
"FT328",209.084454288169,398.598510742188,"Arsenobetaine, 13C2",9360943.48397711
"FT329",210.072238558243,598.287780761719,"Arsenobetaine, 13C2",1499849.31289728
"FT330",211.056462477619,651.642761230469,"None",1902700.19832328
"FT331",212.095156003629,527.180414019531,"DL-Histidine, 15N",230406090.706129
"FT332",212.164549763715,117.310409545898,"Adenine, 15N2",1949272.07929087
"FT333",214.064557896331,198.102554321289,"L-Methionine, 2H3",4787541.23305799
"FT334",218.13867352602,255.585998535156,"Glycine betaine, 13C5, 15N",66509992.3873616
"FT335",218.974673610989,791.778259277344,"Glycine betaine, 13C5, 15N",44278846.5439138
"FT336",221.007676643858,791.062286376953,"DL-Histidine, 15N",89486886.0475065
"FT337",223.005120517343,790.872985839844,"DL-Histidine, 15N",12580818.4545112
"FT338",223.063617780926,443.366821289062,"Arsenobetaine, 13C2",1599454.34629622
"FT339",223.063519962166,495.515747070312,"Adenine, 15N2",1554390.12503008
"FT340",225.079254874253,383.164260864257,"Arsenobetaine, 13C2",3368716.13249387
"FT341",225.079241812337,455.335296630859,"Glycine betaine, 13C5, 15N",1871981.92500394
"FT342",225.982531164767,451.810119628906,"Adenine, 15N2",41413420.0095605
"FT346",228.097964739119,290.423950195312,"Cytosine, 13C2, 15N3",3342271.84870258
"FT349",233.08949819512,325.488494873047,"Cytosine, 13C2, 15N3",2430965.4645045
"FT350",233.914905256541,182.50373840332,"Cytosine, 13C2, 15N3",60956254.3614304
"FT351",234.918026381928,182.255966186523,"DL-Histidine, 15N",12024136.1247753
"FT352",235.913087556397,182.848907470703,"Cytosine, 13C2, 15N3",55872952.4224874
"FT353",236.149341467504,409.708801269531,"Adenine, 15N2",59276489.2944359
"FT354",236.14927992499,519.316314697266,"Glycine betaine, 13C5, 15N",65686806.8692796
"FT355",236.916314475351,183.046516418457,"DL-Histidine, 15N",3522789.25097136
"FT356",237.91116818224,183.252685546875,"DL-Histidine, 15N",17820519.8075225
"FT357",239.14901213692,119.239639282227,"Adenine, 15N2",7421937.12606319
"FT358",239.17548137676,155.45393371582,"Adenine, 15N2",4805519.4147847
"FT359",242.22270085914,501.596710205078,"Glycine betaine, 13C5, 15N",1870614.64472456
"FT360",244.023668819578,791.778259277344,"DL-Histidine, 15N",401240605.266209
"FT361",244.092905862584,390.408355712891,"Cytosine, 13C2, 15N3",11405964.0175406
"FT362",244.190876270639,111.512718200684,"Adenine, 15N2",4603335.3324146
"FT363",244.934686985302,1193.46276855469,"Adenine, 15N2",6735024.43180249
"FT364",245.024876768656,796.870300292969,"Adenine, 15N2",54404698.1051104
"FT365",245.113265667166,570.627868652344,"DL-Histidine, 15N",67537328.4762032
"FT366",246.097369089966,456.049966263672,"Adenine, 15N2",13433568.3176831
"FT367",246.09729018086,517.149050128906,"None",9817668.86069926
"FT368",246.097247009685,517.255493164062,"DL-Histidine, 15N",18730140.5585558
"FT372",252.082989199967,651.489929199219,"Glycine betaine, 13C5, 15N",1969551.80109263
"FT373",252.109170299579,177.937210083008,"L-Methionine, 2H3",486669011.412177
"FT374",252.14414531886,554.713256835938,"DL-Histidine, 15N",69272516.4307922
"FT375",253.112444121768,184.547080993652,"DL-Proline, 2H7",16687543.1198849
"FT378",258.110216625729,579.671997070312,"DL-Histidine, 15N",141301929.581543
"FT379",259.030639327225,650.600830078125,"None",1162904.95972135
"FT380",259.128936478884,528.350799560547,"DL-Proline, 2H7",2819267.34029304
"FT381",260.001261407742,795.899017333984,"Glycine betaine, 13C5, 15N",48521994.2881573
"FT382",260.11302181741,148.26042175293,"L-Methionine, 2H3",8707322.01391555
"FT383",268.104106270316,213.625213623047,"Cytosine, 13C2, 15N3",139199154.865266
"FT384",269.088068500377,358.597534179688,"L-Methionine, 2H3",23850320.7085645
"FT385",269.105461731966,575.668365478516,"DL-Histidine, 15N",9211074.20863616
"FT387",269.125198440859,553.611389160156,"DL-Histidine, 15N",2465276.44968211
"FT388",271.128842649293,495.137542724609,"None",3494620.69687151
"FT389",272.133921055449,523.289743925781,"DL-Proline, 2H7",2890069.90475219
"FT390",275.071326988593,591.249938964844,"DL-Proline, 2H7",3374438.96258945
"FT391",276.964515294142,790.089630126953,"None",144186938.599221
"FT394",282.118495216475,603.292358398438,"DL-Proline, 2H7",2456240.57537566
"FT395",283.906586741327,451.127502441406,"Cytosine, 13C2, 15N3",4175617.89216687
"FT396",284.098977759171,446.629486083984,"DL-Valine, 2H8",5782700.79144294
"FT397",285.144507212253,402.993011474609,"Arsenobetaine, 13C2",3051159.00175381
"FT398",285.144531840754,653.081451416016,"DL-Proline, 2H7",3087419.85248375
"FT399",286.11336118123,599.65731,"DL-Histidine, 15N",7535839.94639473
"FT401",289.13934345033,537.3111,"None",9011677.243946
"FT402",289.248602049782,111.797401428223,"Glycine betaine, 13C5, 15N",906552.827271879
"FT403",292.94198851163,790.335083007812,"Glycine betaine, 13C5, 15N",35221632.1408837
"FT405",298.096854457779,144.590866088867,"Cytosine, 13C2, 15N3",76465954.1928442
"FT407",303.118701435089,591.980895996094,"L-Methionine, 2H3",4524859.89831914
"FT408",303.154911254224,465.126456,"Adenine, 15N2",5656408.32457906
"FT409",317.991094033312,790.57080078125,"Glycine betaine, 13C5, 15N",64786445.9481773
"FT410",322.847423455896,182.815330505371,"DL-Histidine, 15N",11240096.1807275
"FT411",324.845597438214,181.185920715332,"DL-Histidine, 15N",13876802.9078035
"FT412",325.088214027112,403.155456542969,"None",3652177.01638887
"FT413",326.056329063656,312.384796142578,"None",6926740.22215975
"FT414",326.84381724547,183.810150146484,"DL-Histidine, 15N",13019651.6336666
"FT415",328.085597145763,403.093887329102,"None",2043645.58087027
"FT416",333.129313586845,608.310913085938,"DL-Proline, 2H7",30230597.1674038
"FT421",347.145019536951,374.72218322754,"DL-Valine, 2H8",9813557.28325786
"FT425",353.05562423362,639.449157714844,"DL-Proline, 2H7",13293854.9614996
"FT426",357.165521551336,511.6455078125,"DL-Histidine, 15N",3505291.55106854
"FT427",360.150140968322,606.037658691406,"DL-Proline, 2H7",21969674.1875976
"FT428",363.015541548181,789.508972167969,"Glycine betaine, 13C5, 15N",67801205.5096228
"FT430",366.909502082119,789.127685546875,"Glycine betaine, 13C5, 15N",26179763.0398352
"FT432",368.942553240802,790.492126464844,"None",19198844.4028153
"FT434",372.190439303252,660.2626953125,"DL-Proline, 2H7",5063212.36696089
"FT435",377.133087058626,605.96904,"Arsenobetaine, 13C2",1969065.59644446
"FT436",377.145853273803,605.718688964844,"None",2822105.4098301
"FT437",385.110477577022,117.383674621582,"Adenine, 15N2",912043.459386715
"FT438",386.042261009502,229.263938903808,"Guanine, 13C, 15N2",4890642.37380247
"FT439",388.03644184764,230.869262695312,"Cytosine, 13C2, 15N3",8051543.81787944
"FT440",388.254255540761,110.280136108398,"Arsenobetaine, 13C2",5401950.85871965
"FT441",391.958322245759,789.455078125,"Glycine betaine, 13C5, 15N",122893554.208329
"FT444",401.124818388099,313.185989379882,"Arsenobetaine, 13C2",71078054.1047139
"FT445",411.780010711833,185.699760437011,"None",3356859.99604058
"FT446",413.778213627287,185.699760437011,"None",6473497.86733983
"FT447",415.776347526761,187.839073181152,"None",4276400.84629818
"FT448",418.159797001607,660.2626953125,"Arsenobetaine, 13C2",1874239.18336462
"FT449",420.901135255067,791.778259277344,"None",19550618.5572604
"FT450",432.280470069527,108.873176574707,"Arsenobetaine, 13C2",2962851.75986414
"FT451",433.094421444272,230.80989074707,"Glycine betaine, 13C5, 15N",1944896.88970413
"FT453",448.899321141895,789.687133789062,"None",9651279.10737204
"FT454",465.925970789792,789.547119140625,"None",183042044.489939
"FT457",476.306599972478,106.361389160156,"Arsenobetaine, 13C2",1289869.14114934
"FT460",481.903527864682,789.690124511719,"Glycine betaine, 13C5, 15N",17743233.947207
"FT461",494.868741888669,789.462951660156,"None",21667030.5303033
"FT462",518.084845271389,215.374816894531,"DL-Histidine, 15N",963974.45767839
"FT463",580.919895008208,789.547119140625,"None",59465358.3317398
"FT469",596.89749457796,789.854248046875,"Glycine betaine, 13C5, 15N",9252362.27467516
"FT470",695.913953793527,789.470825195312,"Arsenobetaine, 13C2",56446932.9641704
"FT473",707.99762816498,789.865051269531,"Arsenobetaine, 13C2",37201899.1806384
"FT475",711.891639511194,789.854248046875,"Glycine betaine, 13C5, 15N",6023465.29146751
"FT476",810.907804976867,789.779052734375,"Arsenobetaine, 13C2",20129377.2634046
"FT478",822.991515804167,789.71466,"Arsenobetaine, 13C2",16651622.5628685
