Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],Comment
113.0479,,,,,Positive,5,9,FT118
113.048,,,,,Positive,6,10,FT119
113.0542,,,,,Positive,6,10,FT121
113.06,,,,,Positive,0,4,FT122
113.0713,,,,,Positive,11,14,FT123
114.0665,,,,,Positive,3,7,FT124
114.0665,,,,,Positive,4,8,FT125
114.0665,,,,,Positive,9,13,FT126
115.0393,,,,,Positive,1,4,FT127
115.0869,,,,,Positive,3,7,FT128
115.1233,,,,,Positive,9,12,FT129
116.0517,,,,,Positive,5,9,FT130
116.0709,,,,,Positive,7,11,FT131
116.0709,,,,,Positive,2,6,FT132
116.0709,,,,,Positive,2,6,FT133
116.1073,,,,,Positive,9,12,FT134
116.1185,,,,,Positive,9,12,FT135
117.0549,,,,,Positive,9,13,FT137
117.0681,,,,,Positive,7,11,FT138
117.1138,,,,,Positive,9,13,FT140
118.0616,,,,,Positive,10,14,FT142
118.0864,,,,,Positive,6,9,FT143
118.0865,,,,,Positive,7,11,FT144
118.1229,,,,,Positive,4,8,FT145
118.1227,,,,,Positive,6,9,FT146
119.0354,,,,,Positive,3,7,FT147
119.0494,,,,,Positive,8,11,FT148
119.0606,,,,,Positive,4,8,FT150
119.0606,,,,,Positive,2,6,FT151
119.0858,,,,,Positive,1,4,FT153
119.0898,,,,,Positive,7,11,FT155
120.0326,,,,,Positive,4,7,FT156
120.0658,,,,,Positive,9,13,FT157
120.0657,,,,,Positive,9,13,FT158
120.081,,,,,Positive,4,8,FT159
120.9725,,,,,Positive,19,24,FT162
121.032,,,,,Positive,7,10,FT163
121.065,,,,,Positive,2,6,FT165
121.0684,,,,,Positive,9,13,FT166
121.0843,,,,,Positive,4,8,FT167
121.1022,,,,,Positive,8,11,FT168
122.0065,,,,,Positive,19,23,FT169
122.0684,,,,,Positive,2,6,FT172
122.0814,,,,,Positive,7,10,FT173
122.0814,,,,,Positive,7,10,FT174
122.1085,,,,,Positive,8,11,FT175
123.0073,,,,,Positive,19,23,FT176
123.0555,,,,,Positive,1,5,FT178
123.0918,,,,,Positive,0,4,FT179
123.097,,,,,Positive,6,9,FT180
123.1031,,,,,Positive,6,9,FT181
123.1147,,,,,Positive,8,11,FT182
124.0395,,,,,Positive,2,6,FT183
125.0427,,,,,Positive,2,6,FT187
125.0711,,,,,Positive,1,4,FT188
125.0711,,,,,Positive,4,8,FT189
126.0221,,,,,Positive,10,13,FT190
126.0437,,,,,Positive,2,6,FT191
126.0663,,,,,Positive,3,8,FT192
126.1027,,,,,Positive,9,13,FT193
126.1366,,,,,Positive,7,10,FT194
127.0503,,,,,Positive,1,5,FT195
127.0635,,,,,Positive,4,8,FT196
127.0697,,,,,Positive,4,8,FT197
127.0728,,,,,Positive,5,9,FT198
128.0179,,,,,Positive,10,13,FT199
128.0708,,,,,Positive,10,14,FT201
128.0708,,,,,Positive,14,18,FT202
128.0762,,,,,Positive,5,9,FT203
128.1183,,,,,Positive,9,13,FT204
128.1311,,,,,Positive,4,8,FT205
129.066,,,,,Positive,8,12,FT206
130.0472,,,,,Positive,10,13,FT207
130.05,,,,,Positive,7,11,FT208
130.05,,,,,Positive,10,13,FT209
130.05,,,,,Positive,11,14,FT210
130.0652,,,,,Positive,0,4,FT211
130.0863,,,,,Positive,16,20,FT213
130.0864,,,,,Positive,9,13,FT214
130.1592,,,,,Positive,5,9,FT215
131.0704,,,,,Positive,7,12,FT217
131.0704,,,,,Positive,1,4,FT218
131.0754,,,,,Positive,2,5,FT219
132.0768,,,,,Positive,9,13,FT220
132.102,,,,,Positive,6,10,FT221
132.102,,,,,Positive,8,11,FT222
132.102,,,,,Positive,5,9,FT223
133.0278,,,,,Positive,13,17,FT224
133.0319,,,,,Positive,6,9,FT225
133.0497,,,,,Positive,1,4,FT226
133.061,,,,,Positive,10,14,FT227
133.0739,,,,,Positive,9,13,FT229
133.0973,,,,,Positive,14,18,FT231
133.099,,,,,Positive,6,9,FT232
133.1054,,,,,Positive,6,9,FT236
133.1385,,,,,Positive,1,4,FT237
134.0325,,,,,Positive,5,9,FT240
134.0449,,,,,Positive,11,15,FT241
134.081,,,,,Positive,9,13,FT242
134.0812,,,,,Positive,9,12,FT243
134.0903,,,,,Positive,4,8,FT244
134.1176,,,,,Positive,9,13,FT246
135.0302,,,,,Positive,7,10,FT248
135.0474,,,,,Positive,8,12,FT250
136.0426,,,,,Positive,11,15,FT251
136.0507,,,,,Positive,6,10,FT254
136.0618,,,,,Positive,2,5,FT256
136.0619,,,,,Positive,3,8,FT257
136.0618,,,,,Positive,1,5,FT258
136.0618,,,,,Positive,1,5,FT259
136.0758,,,,,Positive,8,12,FT260
136.9943,,,,,Positive,3,7,FT261
137.0458,,,,,Positive,5,8,FT263
137.0458,,,,,Positive,6,9,FT264
137.0459,,,,,Positive,4,8,FT265
137.0458,,,,,Positive,3,7,FT266
137.0589,,,,,Positive,4,7,FT269
137.0631,,,,,Positive,9,13,FT270
137.0651,,,,,Positive,2,6,FT273
137.0961,,,,,Positive,1,4,FT274
137.9839,,,,,Positive,19,23,FT275
138.0429,,,,,Positive,5,8,FT276
138.0549,,,,,Positive,3,8,FT279
138.055,,,,,Positive,6,10,FT280
138.0559,,,,,Positive,3,7,FT281
139.0304,,,,,Positive,5,9,FT282
139.0503,,,,,Positive,2,6,FT283
139.0502,,,,,Positive,7,10,FT284
139.0503,,,,,Positive,7,11,FT285
139.0529,,,,,Positive,3,7,FT286
139.1427,,,,,Positive,6,9,FT291
140.0376,,,,,Positive,10,14,FT292
140.0376,,,,,Positive,7,11,FT293
140.0536,,,,,Positive,7,11,FT294
140.0591,,,,,Positive,6,10,FT296
140.0682,,,,,Positive,6,9,FT298
141.0312,,,,,Positive,6,10,FT300
141.047,,,,,Positive,3,6,FT301
141.0658,,,,,Positive,5,9,FT302
141.1135,,,,,Positive,3,7,FT303
142.0073,,,,,Positive,9,13,FT304
143.0815,,,,,Positive,7,10,FT307
143.0815,,,,,Positive,8,11,FT308
143.0816,,,,,Positive,4,8,FT309
144.0787,,,,,Positive,8,11,FT310
144.0849,,,,,Positive,4,7,FT314
144.1019,,,,,Positive,5,8,FT315
144.1019,,,,,Positive,7,11,FT316
144.1019,,,,,Positive,8,12,FT317
144.1131,,,,,Positive,9,13,FT318
144.9822,,,,,Positive,7,11,FT319
144.9822,,,,,Positive,2,6,FT320
145.0496,,,,,Positive,7,11,FT321
145.0608,,,,,Positive,8,12,FT322
145.0608,,,,,Positive,10,14,FT323
145.0856,,,,,Positive,8,11,FT324
145.1054,,,,,Positive,8,12,FT328
146.0601,,,,,Positive,1,4,FT330
146.0925,,,,,Positive,10,13,FT331
146.0933,,,,,Positive,4,8,FT332
146.1175,,,,,Positive,8,12,FT333
146.1176,,,,,Positive,7,11,FT334
146.1176,,,,,Positive,4,8,FT335
146.9803,,,,,Positive,2,6,FT336
146.9804,,,,,Positive,7,11,FT337
146.9803,,,,,Positive,1,5,FT338
147.0442,,,,,Positive,8,11,FT339
147.0473,,,,,Positive,8,12,FT340
147.0474,,,,,Positive,7,10,FT341
147.0804,,,,,Positive,1,4,FT343
147.0996,,,,,Positive,9,12,FT344
147.0996,,,,,Positive,8,12,FT345
147.1128,,,,,Positive,15,20,FT346
147.9837,,,,,Positive,1,5,FT349
148.0427,,,,,Positive,8,11,FT350
148.0426,,,,,Positive,10,13,FT351
148.0482,,,,,Positive,4,7,FT352
148.0604,,,,,Positive,10,14,FT354
148.0968,,,,,Positive,6,10,FT356
148.1059,,,,,Positive,9,12,FT357
148.1058,,,,,Positive,8,12,FT358
149.0267,,,,,Positive,9,12,FT359
149.0631,,,,,Positive,9,12,FT361
150.0584,,,,,Positive,6,10,FT366
150.0775,,,,,Positive,5,8,FT367
150.1125,,,,,Positive,2,6,FT368
150.1125,,,,,Positive,2,6,FT369
151.0423,,,,,Positive,8,11,FT370
151.0423,,,,,Positive,9,12,FT371
151.0617,,,,,Positive,6,10,FT372
151.0807,,,,,Positive,2,6,FT374
151.0966,,,,,Positive,1,4,FT375
151.1441,,,,,Positive,5,8,FT376
152.0568,,,,,Positive,6,9,FT379
152.0567,,,,,Positive,1,5,FT380
152.0567,,,,,Positive,7,11,FT381
152.0706,,,,,Positive,7,11,FT382
152.0706,,,,,Positive,6,10,FT383
152.0707,,,,,Positive,1,5,FT384
152.0706,,,,,Positive,5,9,FT385
152.074,,,,,Positive,8,11,FT386
153.0407,,,,,Positive,7,10,FT388
153.0601,,,,,Positive,7,11,FT391
153.0738,,,,,Positive,1,4,FT394
154.0532,,,,,Positive,3,7,FT396
154.0533,,,,,Positive,4,8,FT397
154.0572,,,,,Positive,7,10,FT398
154.0724,,,,,Positive,8,11,FT399
154.0803,,,,,Positive,2,6,FT402
155.0815,,,,,Positive,7,11,FT405
156.0768,,,,,Positive,9,13,FT407
156.9841,,,,,Positive,9,13,FT410
157.0738,,,,,Positive,10,13,FT411
157.08,,,,,Positive,9,13,FT412
157.0972,,,,,Positive,6,10,FT413
157.0972,,,,,Positive,5,9,FT414
157.0972,,,,,Positive,7,10,FT415
157.17,,,,,Positive,8,12,FT416
158.0601,,,,,Positive,0,4,FT417
158.0812,,,,,Positive,6,10,FT418
158.1176,,,,,Positive,7,11,FT419
158.1176,,,,,Positive,4,8,FT420
159.0171,,,,,Positive,9,13,FT421
159.0278,,,,,Positive,5,8,FT422
159.0764,,,,,Positive,9,12,FT423
159.0765,,,,,Positive,10,13,FT424
159.0765,,,,,Positive,10,14,FT425
160.0618,,,,,Positive,3,7,FT426
160.0798,,,,,Positive,10,13,FT427
160.0798,,,,,Positive,11,14,FT428
160.0968,,,,,Positive,7,10,FT429
160.0969,,,,,Positive,6,10,FT430
160.0969,,,,,Positive,8,12,FT431
160.1332,,,,,Positive,8,12,FT432
160.1332,,,,,Positive,7,11,FT433
160.1332,,,,,Positive,6,9,FT434
160.1333,,,,,Positive,6,10,FT435
161.0143,,,,,Positive,9,13,FT436
161.0631,,,,,Positive,8,11,FT437
161.0631,,,,,Positive,9,13,FT438
161.0921,,,,,Positive,8,12,FT439
161.0939,,,,,Positive,7,10,FT440
161.1366,,,,,Positive,7,11,FT443
162.0761,,,,,Positive,9,13,FT444
162.0762,,,,,Positive,11,14,FT445
162.1125,,,,,Positive,8,12,FT447
162.1125,,,,,Positive,6,10,FT448
162.1125,,,,,Positive,5,9,FT449
163.0502,,,,,Positive,11,15,FT450
163.1078,,,,,Positive,14,18,FT451
164.0931,,,,,Positive,1,5,FT454
164.101,,,,,Positive,2,6,FT455
164.1281,,,,,Positive,9,13,FT456
165.0546,,,,,Positive,8,11,FT457
165.0581,,,,,Positive,7,10,FT458
166.0532,,,,,Positive,9,13,FT462
166.0723,,,,,Positive,7,10,FT464
166.0863,,,,,Positive,8,11,FT465
166.0863,,,,,Positive,7,11,FT466
166.0863,,,,,Positive,4,8,FT467
167.0894,,,,,Positive,7,10,FT469
167.0895,,,,,Positive,4,8,FT471
168.0291,,,,,Positive,11,15,FT473
168.0506,,,,,Positive,6,10,FT474
168.0655,,,,,Positive,2,6,FT475
168.069,,,,,Positive,7,10,FT476
168.088,,,,,Positive,4,8,FT477
168.0962,,,,,Positive,1,5,FT478
169.0972,,,,,Positive,7,11,FT481
170.0117,,,,,Positive,11,15,FT482
170.0684,,,,,Positive,15,19,FT483
170.1176,,,,,Positive,6,10,FT484
170.1175,,,,,Positive,7,11,FT485
170.14,,,,,Positive,9,13,FT486
170.5701,,,,,Positive,15,19,FT487
171.0765,,,,,Positive,10,13,FT488
171.0843,,,,,Positive,2,6,FT489
171.0844,,,,,Positive,2,7,FT490
172.0718,,,,,Positive,7,11,FT491
172.1332,,,,,Positive,8,11,FT494
172.1332,,,,,Positive,0,4,FT495
173.0809,,,,,Positive,2,7,FT496
173.0921,,,,,Positive,7,10,FT497
173.1,,,,,Positive,2,5,FT498
174.022,,,,,Positive,4,8,FT499
